"Number","Precinct","Gender","Race","Age","Bias.Motivation"
122,113,"Male","White",57,"Anti-Islamic (Muslim)"
123,114,"Male","White",53,"Anti-LGBT"
124,115,"Male","White",50,"Anti-Other Ethnicity"
125,115,"Male","White",38,"Anti-LGBT"
126,115,"Male","Asian",48,"Anti-LGBT"
127,120,"Female","White",38,"Anti-Black"
128,120,"Male","Black",18,"Anti-Hispanic"
129,120,"Female","White",44,"Anti-Black"
130,120,"Male","Black",24,"Anti-LGBT"
131,120,"Female","White",38,"Anti-LGBT"
132,120,"Male","Black",20,"Anti-LGBT"
133,121,"Male","White",57,"Anti-Hispanic"
134,122,"Female","White",44,"Anti-Black"
135,123,"Male","White",37,"Anti-Jewish"
